,CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20
CAG31,-10.81846283,-10.83743247,-10.77764083,-10.06008803,-10.4501726,-9.903152969,-7.413622851,-10.61046609,-10.60517157,-10.24862865,-10.71900203,-10.72866395,-10.68984545,-10.5350792,-10.37505569,-10.22668993,-9.817915054,-9.511632638,-9.506339287,-8.79661232
CAG32,-12.33735531,-12.36382188,-12.26538181,-10.66993014,-11.02962776,-10.21321869,-7.09754494,-11.39310102,-11.43458845,-10.73315497,-11.83703241,-11.56359153,-11.396008,-10.95012855,-10.48819561,-9.94319836,-9.546739754,-9.507880289,-9.718761808,-8.961475737
CAG33,-12.1821391,-12.11123113,-12.05904538,-11.2652096,-11.10396862,-9.756460285,-6.466383858,-11.37869155,-11.45754279,-10.53262068,-11.51652402,-11.17257337,-10.85084424,-10.38612883,-9.820923479,-9.366558216,-9.350430365,-9.473024503,-9.594591284,-9.18242117
CAG34,-11.94189029,-12.10825936,-12.12924964,-11.34079228,-11.03367225,-9.361597321,-6.025925286,-11.22392794,-11.29897904,-10.45130382,-11.18900566,-10.69200295,-10.14470169,-9.669401828,-9.283635779,-9.21033296,-9.34686061,-9.418576616,-9.622117075,-9.467507833
CAG35,-11.92198913,-12.1052964,-12.13838212,-11.1518353,-10.89131468,-9.375781956,-6.078480412,-11.23007424,-11.12928643,-9.841009365,-10.54559584,-9.710094364,-9.157592742,-8.768243136,-8.701243135,-8.773197555,-8.788961008,-8.988630237,-9.631546425,-9.47387593
CAG36,-11.36307732,-11.40624949,-11.38012319,-10.68482932,-10.48995876,-9.17087315,-5.904265256,-10.68554437,-10.3456038,-9.104988806,-9.761841972,-8.968773638,-8.404579003,-8.089179949,-8.167744066,-8.365094062,-8.644472686,-9.190408433,-9.562437214,-9.490192307
CAG37,-10.42947256,-10.49763521,-10.43837139,-10.105497,-10.08802931,-9.023169306,-5.882796443,-9.98989674,-9.533090771,-8.537682365,-9.189286368,-8.743832679,-8.717002419,-8.894142617,-8.932681392,-9.110600162,-9.446154709,-9.727505033,-10.04038295,-9.730528259
CAG38,-11.75664169,-11.78630489,-11.72176636,-10.59336041,-10.36462262,-8.526968422,-5.116634877,-9.789777554,-9.365220168,-8.183616031,-9.072108735,-8.725328695,-8.878640265,-9.00222332,-9.237531984,-9.668108,-10.0299312,-10.62517224,-10.9371654,-10.01262909
CAG39,-11.69786084,-11.9048947,-11.80584948,-10.45186991,-10.0089861,-7.845078084,-4.552312365,-9.015465003,-8.912072223,-7.588860425,-8.984313966,-8.743422297,-8.838363276,-9.107938226,-9.583599537,-9.972917202,-10.53877834,-10.86958414,-10.94455233,-9.696168055
CAG40,-11.35326645,-11.6275565,-11.46531283,-10.14428529,-9.685585945,-7.307527272,-4.104387486,-8.370024691,-8.362567745,-7.509997254,-8.857149051,-8.55775557,-8.628801274,-9.015195752,-9.530383188,-10.13187305,-10.54746326,-10.70796845,-10.58426944,-9.310218381
