16764,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
299,317,327,446,454,918,13967,669,8076,1355,339,345,369,331,328,307,295,334,297,308,HETERO
141,77,72,266,594,5688,130871,697,272,1157,118,103,73,72,75,74,51,61,66,114,HOMO
0,0,1,19,3,29,851,16,54,1108,4,1,2,4,2,0,0,1,0,5,HOMO
20,58,207,709,1422,8296,158163,1362,762,1996,102,190,204,193,188,134,120,177,256,1085,HOMO
0,0,5,52,16,100,2686,45,125,1868,12,14,5,3,6,7,3,1,2,27,HOMO
0,0,0,6,1,4,170,3,15,275,0,1,1,0,0,0,1,0,0,1,HOMO
182,170,390,914,1806,10979,130796,2505,1001,1867,912,795,684,637,632,606,571,526,470,941,HOMO
13,16,33,339,594,2775,69357,4473,90147,7385,83,251,121,51,67,63,62,107,188,708,HETERO
144,146,395,1168,1983,11868,83082,1425,659,2106,854,873,647,412,311,202,165,160,150,240,HETERO
10,11,17,206,262,1621,47162,74,169,410,42,45,48,40,37,31,35,37,20,75,HOMO
19,17,23,66,217,1242,17257,558,1484,16157,275,335,645,416,473,418,423,499,632,2055,HETERO
19,42,92,151,273,1170,21296,219,99,304,26,20,50,35,34,24,36,34,34,66,HOMO
79,103,188,950,349,3026,86441,634,368,2427,480,878,856,903,1025,1109,2241,477,393,824,HOMO
18,22,197,4613,1429,5596,127775,1825,986,1561,374,513,484,452,505,640,892,981,669,1568,HOMO
0,0,0,22,7,112,3069,19,7,14,2,0,1,2,1,1,1,1,0,6,HETERO
1,10,25,258,444,1625,39691,638,674,21664,386,98,105,93,65,60,29,41,41,73,HETERO
12,10,18,67,125,899,10593,264,508,7062,73,84,67,52,41,34,22,14,17,31,HETERO
85,82,137,286,636,3105,35355,2875,41204,624,234,284,188,169,177,137,127,108,106,285,HETERO
0,0,0,10,3,24,929,6,3,7,0,0,2,1,0,1,0,1,0,4,HOMO
0,0,1,7,2,43,666,18,5,25,1,0,1,1,0,2,2,3,1,5,HOMO
31,20,73,893,1454,7409,247517,400,750,714,136,153,145,134,116,114,105,114,168,463,HOMO
0,0,0,2,0,3,143,1,3,4,0,0,0,0,0,0,0,1,0,2,HETERO
0,0,1,35,7,98,3775,36,10,14,0,7,4,2,4,5,6,4,1,20,HETERO
45,84,147,1288,2078,7173,143866,1654,7894,117183,398,510,465,384,336,283,245,235,219,494,HETERO
41,54,540,14320,4076,12100,258556,3322,1660,2987,715,958,815,743,719,699,740,801,1000,3675,HOMO
