16081,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
38,19,44,157,394,4456,69047,1575,296,1012,181,159,120,104,86,63,47,65,66,108,HOMO
435,442,651,927,1557,5693,41291,1344,727,982,547,518,538,553,499,507,525,461,478,867,HOMO
16,11,16,60,119,1342,22775,359,81,217,60,56,54,49,31,29,19,16,15,32,HOMO
96,44,140,326,866,6264,89943,1159,441,1743,305,219,213,133,107,73,74,64,50,133,HOMO
65,63,97,334,708,4572,54302,996,3234,46798,492,312,331,177,112,72,85,53,55,90,HETERO
44,31,57,122,320,2198,37395,332,133,381,153,149,95,70,56,41,34,43,31,94,HOMO
75,47,100,325,720,4095,42976,818,2137,32391,391,278,242,164,124,86,73,61,90,126,HETERO
16,20,29,91,149,724,5307,152,277,3057,63,45,40,36,30,16,30,16,23,41,HETERO
30,11,20,47,147,1366,44729,171,48,116,31,27,37,23,27,18,19,14,26,43,HOMO
429,431,469,661,921,2986,25744,869,627,891,590,634,547,555,497,487,469,442,501,566,HOMO
10,13,16,38,99,866,17641,113,37,142,47,27,20,22,9,10,9,1,10,15,HOMO
286,276,343,493,757,1720,15169,433,334,460,328,333,308,284,300,290,313,313,270,301,HOMO
221,216,280,528,858,1953,22952,392,285,316,270,250,235,224,237,221,245,210,233,239,HOMO
16,14,36,132,241,1621,16979,189,72,289,108,114,67,40,33,23,19,12,19,23,HOMO
130,157,354,683,1771,12097,160947,2463,815,3335,359,340,338,327,257,204,174,166,163,414,HOMO
109,88,206,565,1398,9957,149542,1870,774,2765,478,348,313,269,233,198,197,146,160,297,HOMO
154,37,48,153,412,2106,37246,357,159,272,134,117,97,93,63,67,58,46,48,143,HOMO
85,82,137,286,636,3105,35355,2875,41204,624,234,284,188,169,177,137,127,108,106,285,HETERO
75,51,76,174,496,4298,89321,697,210,519,188,192,145,134,109,92,88,52,71,116,HOMO
82,47,73,194,655,4633,105803,700,252,546,189,182,187,138,128,73,68,69,70,161,HOMO
41,23,22,68,170,1041,15783,635,8048,1440,99,95,78,60,42,33,39,31,25,45,HETERO
103,142,234,318,564,2264,19028,467,277,362,181,183,160,151,132,162,158,160,170,314,HOMO
45,42,81,203,482,2279,25923,589,961,14436,205,190,181,147,115,85,95,87,96,208,HETERO
12,10,18,67,125,899,10593,264,508,7062,73,84,67,52,41,34,22,14,17,31,HETERO
16,11,10,55,125,1300,18430,413,94,267,38,22,19,24,21,14,14,7,16,33,HOMO
23,25,39,118,295,2659,37227,796,171,474,118,111,93,78,71,45,35,23,40,74,HOMO
1,5,48,292,235,2756,32631,804,4551,27999,148,33,44,10,11,13,6,10,1,7,HETERO
12,16,141,1509,872,10069,121716,1132,800,1210,256,275,210,160,109,89,75,42,28,22,HOMO
9,23,165,1867,1542,16895,276592,2074,3413,1323,159,175,112,81,75,46,49,47,38,30,HETERO
11,16,105,847,523,5917,74273,2246,11016,68181,620,260,307,78,61,45,41,18,26,18,HETERO
